"filename", "language", "C++", "CMake", "JSON", "HTML", "Dart", "Markdown", "YAML", "Swift", "XML", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\blocs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\infoMarker\info_marker_bloc.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\infoMarker\info_marker_event.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\infoMarker\info_marker_state.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 9, 69
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\location\location_bloc.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\location\location_event.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\location\location_state.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\map\helpers\imageNetwork_marker.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\map\map_bloc.dart", "Dart", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 10, 13, 179
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\map\map_event.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\blocs\map\map_state.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 10, 63
